# 
# This CSV file is accompanying the paper Vida et al. (2018) "Modeling the measurement accuracy of 
# pre-atmosphere velocities of meteoroids".
# 
# The file contains fits of delta_v (in m/s) to the zenith angle (in radians) for every simulated observing 
# system:
#     0 - ASGARD-like allsky fireball system
#     1 - CAMS-like moderate FOV system
#     2 - CAMO-like image intensified narrow-field system
# 
# and for every simulated meteoroid type:
#     0 - cometary
#     1 - asteroidal
#     2 - iron
# 
# delta_v is the difference between the measured initial velocity and the true pre-atmosphere velocity. Thus if 
# one want to obtain the deceleration-corrected value of the initial velocity, the following expression can be 
# used:
# 
#     v_inf = v_init + delta_v
# 
# where delta_v and can be computed from the table below using the following expression:
# 
#     delta_v = x0 + x1*z + x2*z^2 + x3*z^3 + x4*z^4 + x5*z^5 + x6*z^6
# 
# Where z is the zenith angle in radians and coefficients x are listed below in the table. The table lists 
# discrete values of velocities and peak magnitudes for which the fits are valid. If one wants to compute 
# delta_v for a given meteor of known initial velocity, peak magnitude and zenith angle, a lookup for a 
# particular system, meteoroid type (can be guessed from the beginning height), velocity and peak magnitude has 
# to be performed. If one needs an estimate for delta_v for non-discrete values of velocity, linear 
# interpolation between two values of delta_v for neighbouring discrete values of velocities will provide a 
# sufficiently precise approximation.
# 
# System type;Meteoroid type;Velocity (m/s);Peak magnitude;x0;x1;x2;x3;x4;x5;x6
0;0;68000;-6.75;-4.755760e+00;-1.207922e+00;3.980498e+00;-1.116338e+00;-1.310069e+01;1.768240e+01;-6.972436e+00
0;0;68000;-6.43;-5.081533e+00;3.534350e-01;-5.092720e+00;1.706357e+01;-2.942600e+01;2.372362e+01;-7.612194e+00
0;0;68000;-6.10;-5.452897e+00;-1.044058e-01;-7.794549e-01;4.492314e+00;-1.500529e+01;1.694344e+01;-6.829471e+00
0;0;68000;-5.78;-5.983398e+00;1.945596e+00;-2.354757e+01;9.194647e+01;-1.651276e+02;1.326472e+02;-3.966690e+01
0;0;68000;-5.46;-6.941477e+00;7.117624e-01;-9.084570e+00;3.405890e+01;-6.598487e+01;5.695621e+01;-1.875295e+01
0;0;68000;-5.14;-7.747872e+00;8.570890e-01;-1.160997e+01;4.580562e+01;-8.909220e+01;7.664182e+01;-2.509393e+01
0;0;68000;-4.81;-8.556605e+00;1.304624e+00;-1.576106e+01;5.643800e+01;-1.054855e+02;8.979088e+01;-2.948766e+01
0;0;68000;-4.49;-9.668474e+00;2.207214e+00;-2.299896e+01;8.094814e+01;-1.489520e+02;1.254361e+02;-4.065693e+01
0;0;68000;-4.17;-1.132453e+01;1.348734e+01;-1.301855e+02;4.583069e+02;-7.593453e+02;5.822166e+02;-1.694186e+02
0;0;68000;-3.84;-1.299678e+01;1.669416e+01;-1.599572e+02;5.621947e+02;-9.351688e+02;7.210520e+02;-2.110529e+02
0;0;68000;-3.52;-1.521899e+01;2.235363e+01;-2.131603e+02;7.496729e+02;-1.241628e+03;9.524806e+02;-2.773360e+02
0;0;68000;-3.20;-1.716743e+01;-8.363796e+00;5.182212e+01;-1.483614e+02;1.415739e+02;-2.438230e+01;-2.310078e+01
0;0;68000;-2.88;-2.080735e+01;1.584992e+01;-1.762518e+02;6.763555e+02;-1.233152e+03;1.030782e+03;-3.260303e+02
0;0;68000;-2.55;-2.507487e+01;2.324814e+01;-2.521916e+02;9.519106e+02;-1.713294e+03;1.427003e+03;-4.530273e+02
0;0;68000;-2.23;-3.206395e+01;5.358760e+01;-5.686730e+02;2.167431e+03;-3.800900e+03;3.020967e+03;-9.027061e+02
0;0;68000;-1.91;-5.635798e+01;5.339580e+01;-6.094540e+02;2.322335e+03;-4.055781e+03;3.105607e+03;-8.683366e+02
0;0;68000;-1.59;-5.635798e+01;5.339580e+01;-6.094540e+02;2.322335e+03;-4.055781e+03;3.105607e+03;-8.683366e+02
0;0;67000;-7.71;-3.698742e+00;-9.713531e-02;6.469535e-01;-3.650478e+00;4.855504e+00;-2.054762e+00;-1.013484e-01
0;0;67000;-7.39;-4.011536e+00;1.115248e+00;-1.198613e+01;4.430388e+01;-7.379922e+01;5.483757e+01;-1.515208e+01
0;0;67000;-7.06;-4.485658e+00;6.437815e-01;-5.948947e+00;2.074490e+01;-3.614909e+01;2.912968e+01;-8.980267e+00
0;0;67000;-6.74;-4.773193e+00;-2.463250e-02;1.510916e+00;-7.167336e+00;8.575026e+00;-3.225635e+00;-3.813641e-01
0;0;67000;-6.42;-5.166759e+00;4.199440e-01;-4.042622e+00;1.710122e+01;-3.316839e+01;2.692701e+01;-8.268563e+00
0;0;67000;-6.10;-5.770746e+00;4.823264e-01;-5.347732e+00;1.690246e+01;-2.935320e+01;2.409665e+01;-8.042463e+00
0;0;67000;-5.77;-6.302239e+00;7.976731e-01;-9.501448e+00;3.439520e+01;-6.307656e+01;5.253900e+01;-1.678251e+01
0;0;67000;-5.45;-6.929355e+00;1.023869e-01;-2.977592e+00;1.517176e+01;-3.976370e+01;4.020335e+01;-1.471616e+01
0;0;67000;-5.13;-7.653922e+00;1.266066e+00;-1.296455e+01;4.500286e+01;-8.280442e+01;6.977959e+01;-2.272827e+01
0;0;67000;-4.80;-8.555773e+00;1.787383e+00;-1.782863e+01;6.402647e+01;-1.190738e+02;1.004964e+02;-3.247489e+01
0;0;67000;-4.48;-9.613394e+00;4.374617e+00;-4.889308e+01;1.820801e+02;-3.182054e+02;2.532606e+02;-7.641533e+01
0;0;67000;-4.16;-1.081492e+01;1.159114e+00;-2.260425e+01;9.708658e+01;-2.039557e+02;1.894051e+02;-6.603651e+01
0;0;67000;-3.84;-1.252413e+01;6.226333e+00;-6.792614e+01;2.594936e+02;-4.799886e+02;4.066279e+02;-1.303597e+02
0;0;67000;-3.51;-1.481868e+01;1.474659e+01;-1.484125e+02;5.207994e+02;-8.518118e+02;6.348100e+02;-1.804302e+02
0;0;67000;-3.19;-1.998798e+01;3.508738e+01;-3.380795e+02;1.196160e+03;-1.985596e+03;1.525233e+03;-4.440323e+02
0;0;67000;-2.87;-2.166237e+01;6.215094e+01;-5.692269e+02;1.941637e+03;-3.077596e+03;2.259631e+03;-6.315802e+02
0;0;67000;-2.54;-2.625107e+01;8.128652e+01;-7.604270e+02;2.650596e+03;-4.269382e+03;3.164810e+03;-8.873276e+02
0;0;67000;-2.22;-3.488020e+01;6.975012e+00;-1.091753e+02;4.397269e+02;-9.276543e+02;8.940516e+02;-3.315858e+02
0;0;67000;-1.90;-3.488020e+01;6.975012e+00;-1.091753e+02;4.397269e+02;-9.276543e+02;8.940516e+02;-3.315858e+02
0;0;67000;-1.58;-5.215417e+01;-4.766815e+01;4.153721e+02;-2.136853e+03;4.243358e+03;-3.699329e+03;1.162536e+03
0;0;66000;-7.70;-3.676997e+00;-7.291860e-01;6.720666e+00;-2.543891e+01;4.023150e+01;-2.806875e+01;6.880612e+00
0;0;66000;-7.38;-4.189365e+00;5.427450e-01;-5.309475e+00;1.913282e+01;-3.272054e+01;2.532678e+01;-7.451528e+00
0;0;66000;-7.05;-4.487399e+00;1.095603e+00;-9.647282e+00;3.230464e+01;-5.205181e+01;3.890781e+01;-1.117709e+01
0;0;66000;-6.73;-4.730844e+00;2.823791e+00;-2.520433e+01;7.883569e+01;-1.146879e+02;7.740926e+01;-2.011905e+01
0;0;66000;-6.41;-5.346100e+00;5.042408e-01;-5.993606e+00;2.206639e+01;-4.053489e+01;3.367645e+01;-1.073029e+01
0;0;66000;-6.09;-5.742621e+00;5.397068e-01;-6.483555e+00;2.487688e+01;-4.779668e+01;4.056629e+01;-1.302644e+01
0;0;66000;-5.76;-6.240187e+00;1.070577e+00;-1.192385e+01;4.079881e+01;-7.043168e+01;5.634256e+01;-1.747016e+01
0;0;66000;-5.44;-6.863679e+00;1.442127e+00;-2.201190e+01;9.080607e+01;-1.662987e+02;1.350571e+02;-4.097688e+01
0;0;66000;-5.12;-7.664502e+00;6.388888e+00;-6.112908e+01;2.082947e+02;-3.321504e+02;2.448275e+02;-6.889177e+01
0;0;66000;-4.80;-8.768048e+00;-1.024408e+00;7.016445e+00;-2.551843e+01;2.790094e+01;-8.821343e+00;-2.823291e+00
0;0;66000;-4.47;-1.024913e+01;2.259717e+00;-3.047476e+01;1.139167e+02;-2.047288e+02;1.665892e+02;-5.196046e+01
0;0;66000;-4.15;-1.134486e+01;7.504782e+00;-7.595084e+01;2.676221e+02;-4.435646e+02;3.358236e+02;-9.712552e+01
0;0;66000;-3.83;-1.358140e+01;4.659741e+00;-5.084872e+01;1.820243e+02;-3.239097e+02;2.639513e+02;-8.279015e+01
0;0;66000;-3.50;-1.654850e+01;2.502890e+01;-2.396866e+02;8.470194e+02;-1.408855e+03;1.084513e+03;-3.165170e+02
0;0;66000;-3.18;-1.935697e+01;1.435023e+01;-1.603351e+02;6.109237e+02;-1.106157e+03;9.201437e+02;-2.900934e+02
